country_code,country,latitude,longitude,tf_total,tf_ggbn,tf_barcodes,tf_both,tf_neither,tf_unique,tg_total,tg_ggbn,tg_barcodes,tg_both,tg_neither,tg_unique,ts_total,ts_ggbn,ts_barcodes,ts_both,ts_neither,ts_unique,vf_total,vf_ggbn,vf_barcodes,vf_both,vf_neither,vf_unique,vg_total,vg_ggbn,vg_barcodes,vg_both,vg_neither,vg_unique,vs_total,vs_ggbn,vs_barcodes,vs_both,vs_neither,vs_unique
BD,Bangladesh,23.684994,90.356331,198,6,36,16,140,0,971,95,232,402,242,3,1844,55,135,1631,23,109,208,29,14,9,156,0,473,91,53,104,225,2,620,114,135,244,127,10
CN,China,35.86166,104.195397,337,17,85,44,191,3,3492,224,981,1776,511,296,26920,199,1984,24535,202,13061,515,70,45,53,347,17,2122,345,237,680,860,166,5216,622,640,2959,995,1246
GE,Georgia,42.315407,43.356892,152,0,24,2,126,0,937,20,431,218,268,86,2929,15,778,2041,95,1503,110,8,7,1,94,1,217,45,9,30,133,17,281,63,12,101,105,88
ID,Indonesia,-0.789275,113.921327,344,25,79,48,192,11,3409,338,685,1905,481,484,24052,307,737,22900,108,14780,576,72,75,82,347,18,2729,345,430,1088,866,422,8311,704,1090,5491,1026,3095
IN,India,20.593684,78.96288,321,18,72,41,190,4,3385,294,862,1700,529,267,16872,290,1255,15161,166,5512,526,64,51,72,339,16,2243,315,288,735,905,163,5369,589,780,2971,1029,1215
JP,Japan,36.204824,138.252924,278,4,72,19,183,1,2207,136,802,801,468,127,8972,142,1449,7165,216,2586,563,88,48,82,345,24,2145,412,209,628,896,176,5252,797,528,2814,1113,1099
KR,South Korea,35.907757,127.766922,205,0,48,14,143,7,1169,36,494,305,334,23,3476,46,743,2565,122,323,291,36,15,17,223,0,714,143,42,138,391,10,1186,196,113,520,357,75
NP,Nepal,28.394857,84.124008,231,4,52,10,165,0,1667,106,558,607,396,16,5788,82,691,4924,91,631,184,24,25,11,124,1,632,82,91,195,264,35,1201,117,292,572,220,168
PH,Philippines,12.879721,121.774017,291,19,63,29,180,1,2338,242,500,1190,406,99,11015,185,415,10342,73,4997,487,59,44,61,323,4,1944,267,253,610,814,119,5743,613,693,3427,1010,1418
PK,Pakistan,30.375321,69.345116,158,1,19,6,132,0,963,60,348,290,265,54,2437,43,351,1979,64,586,281,26,18,15,222,3,778,116,73,190,399,24,1351,166,203,647,335,201
TH,Thailand,15.870032,100.992541,292,17,62,34,179,0,2473,233,513,1322,405,92,10925,166,485,10213,61,2681,401,51,33,40,277,7,1610,250,213,479,668,47,4005,457,630,2160,758,562
TW,Taiwan,23.69781,120.960515,266,7,61,19,179,0,1799,157,543,685,414,23,5693,148,590,4854,101,673,384,45,29,24,286,0,1286,198,142,275,671,15,2722,370,376,1244,732,208
VN,Vietnam,14.058324,108.277199,296,12,67,34,183,1,2312,192,529,1184,407,68,9192,129,467,8534,62,2051,384,44,32,37,271,1,1439,222,177,436,604,30,3062,377,453,1613,619,342